class,confidence,x1,y1,x2,y2,mask_score,image_w,image_h,source_path,gdino_overlay_path,seg_overlay_path,yolo_overlay_path
car,0.5730,3066,1867,3252,2240,0.9886,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
car,0.5492,983,2310,1175,2712,0.9746,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
car,0.5402,4337,1848,4552,2254,0.9840,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
car,0.5455,4279,828,4479,1206,0.9751,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
star,0.4503,3008,1476,3154,1565,0.9278,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
car,0.5618,1684,788,1852,1124,0.9860,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
phone car,0.6230,4816,1828,5057,2267,0.9833,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
truck,0.4411,3058,413,3493,607,0.9719,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
car,0.4707,707,818,929,1204,0.9823,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
road,0.3621,197,666,5171,3455,0.9918,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
car,0.4996,3074,2316,3278,2746,0.9885,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
potted plant tree,0.5418,1571,449,1845,674,0.9407,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
potted plant tree,0.4846,4798,509,4962,671,0.9634,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
car,0.5059,3846,2342,4049,2791,0.9775,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
car,0.5458,4735,821,4946,1185,0.9802,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
