class,confidence,x1,y1,x2,y2,mask_score,image_w,image_h,source_path,gdino_overlay_path,seg_overlay_path,yolo_overlay_path
building house, 0.6701, 530, 81, 936, 239, 0.9848, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\playful-donkeys-in-a-pastoral-setting-101222214.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\playful-donkeys-in-a-pastoral-setting-101222214_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\playful-donkeys-in-a-pastoral-setting-101222214_from_input_yolo.png
horse, 0.6021, 347, 232, 567, 376, 0.9725, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\playful-donkeys-in-a-pastoral-setting-101222214.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\playful-donkeys-in-a-pastoral-setting-101222214_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\playful-donkeys-in-a-pastoral-setting-101222214_from_input_yolo.png
horse, 0.6018, 245, 83, 1005, 898, 1.0060, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\playful-donkeys-in-a-pastoral-setting-101222214.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\playful-donkeys-in-a-pastoral-setting-101222214_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\playful-donkeys-in-a-pastoral-setting-101222214_from_input_yolo.png
desk, 0.5066, 18, 313, 304, 529, 0.9683, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\playful-donkeys-in-a-pastoral-setting-101222214.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\playful-donkeys-in-a-pastoral-setting-101222214_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\playful-donkeys-in-a-pastoral-setting-101222214_from_input_yolo.png
tree, 0.5361, 169, 1, 428, 262, 0.9867, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\playful-donkeys-in-a-pastoral-setting-101222214.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\playful-donkeys-in-a-pastoral-setting-101222214_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\playful-donkeys-in-a-pastoral-setting-101222214_from_input_yolo.png
horse, 0.4881, 827, 100, 1296, 897, 1.0003, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\playful-donkeys-in-a-pastoral-setting-101222214.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\playful-donkeys-in-a-pastoral-setting-101222214_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\playful-donkeys-in-a-pastoral-setting-101222214_from_input_yolo.png
tree, 0.5105, 1230, 1, 1463, 235, 0.9901, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\playful-donkeys-in-a-pastoral-setting-101222214.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\playful-donkeys-in-a-pastoral-setting-101222214_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\playful-donkeys-in-a-pastoral-setting-101222214_from_input_yolo.png
eye, 0.4311, 1041, 507, 1113, 554, 0.9409, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\playful-donkeys-in-a-pastoral-setting-101222214.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\playful-donkeys-in-a-pastoral-setting-101222214_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\playful-donkeys-in-a-pastoral-setting-101222214_from_input_yolo.png
window, 0.4011, 861, 113, 877, 140, 0.9605, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\playful-donkeys-in-a-pastoral-setting-101222214.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\playful-donkeys-in-a-pastoral-setting-101222214_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\playful-donkeys-in-a-pastoral-setting-101222214_from_input_yolo.png
eye, 0.3826, 774, 399, 823, 441, 0.9397, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\playful-donkeys-in-a-pastoral-setting-101222214.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\playful-donkeys-in-a-pastoral-setting-101222214_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\playful-donkeys-in-a-pastoral-setting-101222214_from_input_yolo.png
face, 0.3584, 764, 310, 962, 678, 0.9545, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\playful-donkeys-in-a-pastoral-setting-101222214.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\playful-donkeys-in-a-pastoral-setting-101222214_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\playful-donkeys-in-a-pastoral-setting-101222214_from_input_yolo.png
tree, 0.3879, 1471, 99, 1573, 231, 0.9848, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\playful-donkeys-in-a-pastoral-setting-101222214.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\playful-donkeys-in-a-pastoral-setting-101222214_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\playful-donkeys-in-a-pastoral-setting-101222214_from_input_yolo.png
eye, 0.3547, 922, 400, 961, 443, 0.9394, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\playful-donkeys-in-a-pastoral-setting-101222214.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\playful-donkeys-in-a-pastoral-setting-101222214_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\playful-donkeys-in-a-pastoral-setting-101222214_from_input_yolo.png
sky, 0.5304, 0, 0, 1599, 118, 0.9993, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\playful-donkeys-in-a-pastoral-setting-101222214.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\playful-donkeys-in-a-pastoral-setting-101222214_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\playful-donkeys-in-a-pastoral-setting-101222214_from_input_yolo.png
