class,confidence,x1,y1,x2,y2,mask_score,image_w,image_h,source_path,gdino_overlay_path,seg_overlay_path,yolo_overlay_path
person man woman, 0.5495, 824, 58, 966, 353, 0.9725, 2400, 1596, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\regina-victorica-FH8hDSkq8J4-unsplash.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\regina-victorica-FH8hDSkq8J4-unsplash_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\regina-victorica-FH8hDSkq8J4-unsplash_from_input_yolo.png
person woman, 0.5547, 1759, 160, 1893, 435, 0.9704, 2400, 1596, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\regina-victorica-FH8hDSkq8J4-unsplash.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\regina-victorica-FH8hDSkq8J4-unsplash_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\regina-victorica-FH8hDSkq8J4-unsplash_from_input_yolo.png
person woman, 0.5394, 1654, 133, 1763, 360, 0.9597, 2400, 1596, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\regina-victorica-FH8hDSkq8J4-unsplash.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\regina-victorica-FH8hDSkq8J4-unsplash_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\regina-victorica-FH8hDSkq8J4-unsplash_from_input_yolo.png
person woman, 0.4918, 293, 0, 452, 248, 0.9728, 2400, 1596, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\regina-victorica-FH8hDSkq8J4-unsplash.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\regina-victorica-FH8hDSkq8J4-unsplash_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\regina-victorica-FH8hDSkq8J4-unsplash_from_input_yolo.png
plate, 0.6150, 444, 1380, 497, 1432, 0.9686, 2400, 1596, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\regina-victorica-FH8hDSkq8J4-unsplash.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\regina-victorica-FH8hDSkq8J4-unsplash_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\regina-victorica-FH8hDSkq8J4-unsplash_from_input_yolo.png
person, 0.5334, 2032, 292, 2197, 521, 0.9172, 2400, 1596, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\regina-victorica-FH8hDSkq8J4-unsplash.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\regina-victorica-FH8hDSkq8J4-unsplash_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\regina-victorica-FH8hDSkq8J4-unsplash_from_input_yolo.png
person man, 0.4953, 354, 1428, 561, 1594, 0.9763, 2400, 1596, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\regina-victorica-FH8hDSkq8J4-unsplash.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\regina-victorica-FH8hDSkq8J4-unsplash_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\regina-victorica-FH8hDSkq8J4-unsplash_from_input_yolo.png
person man, 0.6007, 520, 824, 699, 1015, 0.9475, 2400, 1596, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\regina-victorica-FH8hDSkq8J4-unsplash.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\regina-victorica-FH8hDSkq8J4-unsplash_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\regina-victorica-FH8hDSkq8J4-unsplash_from_input_yolo.png
person woman, 0.5021, 956, 56, 1045, 318, 0.9516, 2400, 1596, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\regina-victorica-FH8hDSkq8J4-unsplash.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\regina-victorica-FH8hDSkq8J4-unsplash_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\regina-victorica-FH8hDSkq8J4-unsplash_from_input_yolo.png
plate, 0.5933, 963, 1184, 1024, 1241, 0.9749, 2400, 1596, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\regina-victorica-FH8hDSkq8J4-unsplash.jpg, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\regina-victorica-FH8hDSkq8J4-unsplash_overlay.png, , D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\regina-victorica-FH8hDSkq8J4-unsplash_from_input_yolo.png
