class,confidence,x1,y1,x2,y2,mask_score,image_w,image_h,source_path,gdino_overlay_path,seg_overlay_path,yolo_overlay_path
person man child,0.6535,1267,247,1373,647,0.9909,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\stunning-winter-ascent-in-the-mountains-4742054.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\stunning-winter-ascent-in-the-mountains-4742054_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\stunning-winter-ascent-in-the-mountains-4742054_from_input_yolo.png
person child,0.6520,785,234,972,792,0.9824,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\stunning-winter-ascent-in-the-mountains-4742054.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\stunning-winter-ascent-in-the-mountains-4742054_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\stunning-winter-ascent-in-the-mountains-4742054_from_input_yolo.png
glasses,0.7287,1286,274,1322,290,0.7882,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\stunning-winter-ascent-in-the-mountains-4742054.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\stunning-winter-ascent-in-the-mountains-4742054_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\stunning-winter-ascent-in-the-mountains-4742054_from_input_yolo.png
hand,0.6089,805,522,838,580,0.9603,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\stunning-winter-ascent-in-the-mountains-4742054.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\stunning-winter-ascent-in-the-mountains-4742054_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\stunning-winter-ascent-in-the-mountains-4742054_from_input_yolo.png
backpack,0.3941,1355,283,1438,453,0.9766,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\stunning-winter-ascent-in-the-mountains-4742054.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\stunning-winter-ascent-in-the-mountains-4742054_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\stunning-winter-ascent-in-the-mountains-4742054_from_input_yolo.png
backpack,0.6839,852,273,1024,518,0.9570,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\stunning-winter-ascent-in-the-mountains-4742054.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\stunning-winter-ascent-in-the-mountains-4742054_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\stunning-winter-ascent-in-the-mountains-4742054_from_input_yolo.png
hand,0.4774,1268,452,1288,490,0.9583,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\stunning-winter-ascent-in-the-mountains-4742054.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\stunning-winter-ascent-in-the-mountains-4742054_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\stunning-winter-ascent-in-the-mountains-4742054_from_input_yolo.png
shoe,0.5979,785,749,870,790,0.9751,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\stunning-winter-ascent-in-the-mountains-4742054.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\stunning-winter-ascent-in-the-mountains-4742054_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\stunning-winter-ascent-in-the-mountains-4742054_from_input_yolo.png
hand,0.4602,1287,456,1315,500,0.9471,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\stunning-winter-ascent-in-the-mountains-4742054.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\stunning-winter-ascent-in-the-mountains-4742054_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\stunning-winter-ascent-in-the-mountains-4742054_from_input_yolo.png
shoe,0.5676,1274,608,1343,646,0.9547,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\stunning-winter-ascent-in-the-mountains-4742054.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\stunning-winter-ascent-in-the-mountains-4742054_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\stunning-winter-ascent-in-the-mountains-4742054_from_input_yolo.png
mountain,0.3681,2,112,1597,897,0.9372,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\stunning-winter-ascent-in-the-mountains-4742054.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\stunning-winter-ascent-in-the-mountains-4742054_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\stunning-winter-ascent-in-the-mountains-4742054_from_input_yolo.png
bottle,0.3917,917,430,947,483,0.8707,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\stunning-winter-ascent-in-the-mountains-4742054.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\stunning-winter-ascent-in-the-mountains-4742054_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\stunning-winter-ascent-in-the-mountains-4742054_from_input_yolo.png
shoe,0.4234,911,729,969,758,0.9301,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\stunning-winter-ascent-in-the-mountains-4742054.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\stunning-winter-ascent-in-the-mountains-4742054_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\stunning-winter-ascent-in-the-mountains-4742054_from_input_yolo.png
sky,0.6277,0,0,1598,306,1.0120,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\stunning-winter-ascent-in-the-mountains-4742054.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\stunning-winter-ascent-in-the-mountains-4742054_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\stunning-winter-ascent-in-the-mountains-4742054_from_input_yolo.png
glasses,0.3710,836,278,849,296,0.8463,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\stunning-winter-ascent-in-the-mountains-4742054.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\stunning-winter-ascent-in-the-mountains-4742054_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\stunning-winter-ascent-in-the-mountains-4742054_from_input_yolo.png
backpack,0.4516,1312,283,1438,453,0.9676,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\stunning-winter-ascent-in-the-mountains-4742054.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\groundingdino_sam\stunning-winter-ascent-in-the-mountains-4742054_overlay.png,,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\stunning-winter-ascent-in-the-mountains-4742054_from_input_yolo.png
