id,area_px,bbox,predicted_iou,stability_score,label
1,3372,"[426, 185, 58, 75]",1.0061225891113281,0.9829562306404114,
2,50008,"[158, 364, 337, 221]",1.0043706893920898,0.9793906211853027,
3,82360,"[953, 258, 639, 217]",0.9993424415588379,0.9755769968032837,
4,8272,"[445, 487, 112, 151]",0.9986714720726013,0.9853541254997253,
5,17921,"[0, 0, 360, 88]",0.9925981163978577,0.9833987951278687,
6,14191,"[1164, 263, 253, 85]",0.9917814135551453,0.9836466312408447,
7,43264,"[323, 0, 256, 225]",0.9895853400230408,0.9820835590362549,
8,62229,"[0, 561, 644, 336]",0.9883114099502563,0.9568045139312744,
9,11361,"[1043, 549, 227, 91]",0.987979531288147,0.9894958138465881,
10,5486,"[866, 510, 105, 76]",0.9858317971229553,0.9857039451599121,
11,7879,"[796, 0, 78, 138]",0.9830064177513123,0.9815280437469482,
12,8510,"[68, 401, 134, 111]",0.9805600643157959,0.9666435718536377,
13,3792,"[302, 507, 132, 43]",0.9802853465080261,0.9832767248153687,
14,2399,"[426, 185, 58, 50]",0.9802649617195129,0.9842650294303894,
15,20926,"[861, 0, 177, 140]",0.9782727360725403,0.9802111387252808,
16,16136,"[704, 521, 128, 193]",0.9770475625991821,0.9786660075187683,
17,18537,"[312, 809, 336, 89]",0.9761160016059875,0.9835626482963562,
18,45505,"[557, 0, 255, 218]",0.9750615358352661,0.9762876629829407,
19,11820,"[1368, 244, 231, 120]",0.9743833541870117,0.9766897559165955,
20,10372,"[0, 738, 125, 160]",0.9734601378440857,0.9819311499595642,
21,8647,"[129, 692, 199, 76]",0.9733158349990845,0.9728496670722961,
22,2295,"[686, 85, 76, 37]",0.973174512386322,0.9810426831245422,
23,24278,"[193, 60, 233, 206]",0.9726943373680115,0.9710609912872314,
24,4261,"[0, 21, 65, 95]",0.971817135810852,0.9777571558952332,
25,3783,"[1338, 420, 125, 39]",0.9677860736846924,0.9661986231803894,
26,19612,"[0, 22, 85, 291]",0.9663593173027039,0.9688205122947693,
27,47911,"[0, 629, 350, 268]",0.9662436842918396,0.9902103543281555,
28,2358,"[225, 485, 48, 103]",0.9634138345718384,0.9765493869781494,
29,524,"[830, 594, 35, 16]",0.962948739528656,0.9811320900917053,
30,25483,"[89, 0, 156, 261]",0.9616748094558716,0.9535918235778809,
31,2929,"[904, 610, 80, 41]",0.9611015319824219,0.9854335784912109,
32,2666,"[102, 401, 110, 44]",0.9591338038444519,0.9792208075523376,
33,1269,"[525, 236, 33, 47]",0.9583593606948853,0.984362781047821,
34,416,"[130, 194, 21, 21]",0.9582081437110901,0.9904076457023621,
35,3364,"[675, 24, 78, 52]",0.957883894443512,0.9744793176651001,
36,28945,"[1047, 170, 552, 115]",0.9571940302848816,0.9645113348960876,
37,1016,"[433, 229, 43, 31]",0.9565125107765198,0.9766309857368469,
38,3029,"[1079, 292, 92, 57]",0.9550092220306396,0.9707412123680115,
39,9037,"[1035, 0, 259, 60]",0.9531113505363464,0.9675628542900085,
40,29759,"[623, 326, 350, 127]",0.9524232149124146,0.9659863710403442,
41,7884,"[0, 522, 167, 118]",0.9479763507843018,0.9637879729270935,
42,1967,"[802, 128, 59, 45]",0.9455450177192688,0.9729323387145996,
43,5294,"[826, 332, 122, 69]",0.944675862789154,0.9575096964836121,
44,1186,"[1339, 0, 31, 51]",0.9371448159217834,0.9825291037559509,
45,9186,"[1338, 384, 249, 76]",0.9357917308807373,0.9621050357818604,
46,2423,"[750, 132, 50, 62]",0.9350367188453674,0.9647201895713806,
47,3005,"[697, 142, 54, 70]",0.9344919919967651,0.9636780023574829,
48,7942,"[1055, 291, 114, 101]",0.9314504861831665,0.9530730247497559,
49,760,"[536, 590, 31, 29]",0.9227537512779236,0.9714285731315613,
50,6761,"[70, 650, 176, 68]",0.9224202036857605,0.9685314893722534,
51,2422,"[1528, 44, 51, 62]",0.9206377863883972,0.9664103388786316,
52,6333,"[449, 753, 149, 106]",0.9193870425224304,0.9644017815589905,
53,1129,"[253, 423, 119, 19]",0.9153253436088562,0.9642545580863953,
54,4431,"[868, 451, 160, 40]",0.9150596857070923,0.9522552490234375,
55,1765,"[1227, 13, 41, 58]",0.9144136905670166,0.9638084769248962,
56,2248,"[657, 415, 191, 34]",0.9138956665992737,0.9628658890724182,
57,1669,"[1014, 65, 43, 62]",0.9127695560455322,0.9549444317817688,
58,2540,"[1114, 139, 55, 88]",0.9107741117477417,0.9641203880310059,
59,30784,"[1326, 430, 273, 157]",0.9062539935112,0.9599501490592957,
60,250993,"[428, 320, 917, 391]",1.0354890823364258,0.9792522192001343,
61,354692,"[32, 434, 1567, 462]",0.9915933609008789,0.9508208632469177,
62,17734,"[197, 736, 277, 116]",0.9901071190834045,0.9746955037117004,
63,11388,"[244, 369, 215, 79]",0.9784879684448242,0.9648460745811462,
64,49164,"[0, 0, 244, 312]",0.9592580795288086,0.9503174424171448,
65,30433,"[859, 0, 436, 141]",0.9527778625488281,0.9636258482933044,
66,50941,"[323, 0, 549, 228]",0.9367707967758179,0.967555582523346,
67,1222,"[536, 198, 37, 45]",0.9309052228927612,0.9600319862365723,
68,35502,"[162, 585, 437, 275]",0.9141835570335388,0.9580202698707581,
69,27023,"[0, 662, 225, 236]",0.9094970226287842,0.96500164270401,
