id,area_px,bbox,predicted_iou,stability_score,label
1,391350,"[769, 794, 1276, 327]",0.9911830425262451,0.9882144927978516,
2,13248,"[2293, 0, 138, 125]",0.9793530702590942,0.9878487586975098,
3,699998,"[4464, 0, 575, 1667]",0.9755988121032715,0.9718350768089294,
4,104440,"[3767, 1880, 719, 489]",0.972566545009613,0.9751614332199097,
5,222711,"[3924, 2549, 679, 410]",0.9637079238891602,0.9741036891937256,
6,190054,"[3121, 0, 208, 2962]",0.9607279300689697,0.9608773589134216,
7,49750,"[597, 2816, 551, 110]",0.9569657444953918,0.9731095433235168,
8,86226,"[623, 1633, 202, 1170]",0.9564980864524841,0.9729417562484741,
9,85603,"[0, 0, 181, 785]",0.95448899269104,0.9844105243682861,
10,10140,"[1647, 2585, 103, 101]",0.9544356465339661,0.9892135858535767,
11,26956,"[2294, 0, 140, 281]",0.9531341791152954,0.9629359841346741,
12,48097,"[4457, 1770, 224, 280]",0.9466865658760071,0.9804894328117371,
13,69454,"[4701, 1582, 338, 355]",0.9460740089416504,0.9574806690216064,
14,28210,"[3844, 0, 256, 156]",0.9457421898841858,0.9764264822006226,
15,230939,"[1610, 219, 633, 693]",0.9446648359298706,0.9502913355827332,
16,26417,"[1692, 1468, 254, 206]",0.9407404661178589,0.96341872215271,
17,120655,"[3565, 2329, 1474, 348]",0.9397892355918884,0.9595636129379272,
18,28906,"[3753, 1807, 422, 304]",0.9394789934158325,0.9652150273323059,
19,53789,"[4610, 0, 429, 142]",0.9367244839668274,0.9787696003913879,
20,89093,"[4823, 2457, 216, 505]",0.9337747693061829,0.9576170444488525,
21,70349,"[3983, 2547, 581, 191]",0.9257861971855164,0.9631645679473877,
22,59127,"[893, 51, 1123, 155]",0.9233320355415344,0.9615225195884705,
23,14488,"[1946, 2028, 142, 158]",0.9210776090621948,0.9592387676239014,
24,98061,"[622, 1132, 264, 1668]",0.9174457788467407,0.9583644866943359,
25,22328,"[4553, 2537, 103, 425]",0.9138572812080383,0.9723817706108093,
26,4867,"[2645, 1746, 111, 72]",0.9017806053161621,0.9501101970672607,
27,2066048,"[0, 0, 895, 2900]",1.0139974355697632,0.9918137192726135,
28,633089,"[3527, 1818, 1512, 854]",0.9751261472702026,0.9553692936897278,
29,439845,"[2234, 243, 222, 2545]",0.9708659648895264,0.9694525003433228,
30,517440,"[3703, 509, 712, 1215]",0.9474222660064697,0.9673724174499512,
31,225299,"[694, 1640, 339, 1172]",0.9391182065010071,0.962526798248291,
