id,area_px,bbox,predicted_iou,stability_score,label
1,3417,"[1105, 44, 53, 109]",0.9868505597114563,0.9508852362632751,
2,15009,"[358, 1479, 201, 116]",0.9866369366645813,0.9833652377128601,
3,7285,"[313, 0, 83, 132]",0.9846042394638062,0.9843174815177917,
4,14036,"[852, 1055, 143, 167]",0.9834120869636536,0.9733867049217224,
5,10530,"[827, 106, 109, 137]",0.9811081886291504,0.9841509461402893,
6,10705,"[0, 645, 127, 129]",0.9771491289138794,0.9849874973297119,
7,16650,"[1743, 1273, 213, 182]",0.9768891334533691,0.9799535870552063,
8,22027,"[360, 1428, 199, 167]",0.9756292104721069,0.9741464257240295,
9,14331,"[1517, 1306, 159, 185]",0.9732452630996704,0.9732222557067871,
10,13251,"[299, 0, 152, 245]",0.9709151983261108,0.9653333425521851,
11,1736,"[1710, 644, 46, 47]",0.9702208638191223,0.9851087927818298,
12,4251,"[1084, 0, 97, 51]",0.9690588712692261,0.9816065430641174,
13,15768,"[136, 700, 172, 145]",0.9672706127166748,0.9682391285896301,
14,15026,"[752, 1215, 153, 188]",0.9612859487533569,0.9618021249771118,
15,9536,"[1082, 769, 114, 148]",0.9604994654655457,0.9795600771903992,
16,2174,"[522, 1401, 52, 52]",0.9601497650146484,0.9867277145385742,
17,3347,"[1261, 390, 44, 102]",0.9600096344947815,0.9787108302116394,
18,8761,"[1767, 1276, 133, 108]",0.9598139524459839,0.9712902307510376,
19,15150,"[616, 1404, 169, 174]",0.959696888923645,0.9738830327987671,
20,8508,"[1678, 0, 72, 177]",0.9560960531234741,0.9815743565559387,
21,5068,"[926, 1405, 69, 97]",0.9553846716880798,0.9775609970092773,
22,1800,"[2165, 328, 52, 45]",0.9551346898078918,0.9752475023269653,
23,8600,"[1085, 0, 96, 178]",0.952568769454956,0.9675317406654358,
24,7663,"[182, 91, 112, 120]",0.9523789286613464,0.9761598110198975,
25,16527,"[1724, 996, 173, 182]",0.9515339732170105,0.9656053185462952,
26,17917,"[1765, 163, 126, 278]",0.9501880407333374,0.9685731530189514,
27,4022,"[2266, 1032, 74, 71]",0.9474000930786133,0.9749693274497986,
28,2000,"[191, 929, 53, 48]",0.9470099806785583,0.9816831946372986,
29,17087,"[333, 1196, 163, 181]",0.9443947076797485,0.9801899790763855,
30,611,"[953, 242, 24, 31]",0.9417403340339661,0.977419376373291,
31,8039,"[0, 60, 126, 256]",0.9408420920372009,0.9612336754798889,
32,9428,"[2235, 1321, 164, 147]",0.9398493766784668,0.9675901532173157,
33,9496,"[2248, 690, 134, 119]",0.938010036945343,0.9615186452865601,
34,7179,"[2129, 1203, 117, 107]",0.9365592002868652,0.9728245735168457,
35,7697,"[1769, 202, 123, 108]",0.9353389739990234,0.9675191640853882,
36,5924,"[1502, 681, 89, 93]",0.9350171685218811,0.9702706933021545,
37,11387,"[921, 335, 126, 154]",0.9343752861022949,0.9691363573074341,
38,7776,"[803, 1265, 99, 103]",0.9336814284324646,0.9737642407417297,
39,4117,"[361, 125, 78, 102]",0.9328191876411438,0.968383252620697,
40,6003,"[922, 808, 113, 92]",0.9316403269767761,0.9727242588996887,
41,1973,"[1241, 1282, 31, 91]",0.9306820034980774,0.97598797082901,
42,5752,"[2148, 1208, 91, 88]",0.9305766820907593,0.9715412259101868,
43,1324,"[967, 334, 39, 42]",0.9289659857749939,0.9782934188842773,
44,3457,"[181, 892, 63, 85]",0.928656816482544,0.9597277641296387,
45,17559,"[1046, 1296, 200, 177]",0.9281641244888306,0.9514676332473755,
46,1905,"[1354, 33, 83, 26]",0.9272404313087463,0.9741200804710388,
47,3522,"[346, 1206, 72, 66]",0.9267273545265198,0.9739057421684265,
48,9368,"[333, 1195, 114, 182]",0.9262258410453796,0.9563309550285339,
49,8723,"[659, 1132, 158, 166]",0.9258776903152466,0.9643983840942383,
50,7176,"[1089, 221, 101, 124]",0.924441933631897,0.9624111652374268,
51,8619,"[623, 1420, 113, 112]",0.9208054542541504,0.9586645364761353,
52,6453,"[2209, 753, 190, 143]",0.9200541973114014,0.9711097478866577,
53,17729,"[166, 334, 236, 199]",0.9199907779693604,0.9547907710075378,
54,6044,"[147, 165, 98, 105]",0.9172399640083313,0.9602078795433044,
55,9336,"[504, 82, 88, 172]",0.916485071182251,0.9733037948608398,
56,1571,"[189, 829, 63, 43]",0.9141162037849426,0.9754098653793335,
57,2267,"[345, 638, 52, 57]",0.9066612124443054,0.9794939160346985,
58,13904,"[346, 638, 191, 170]",0.9020786285400391,0.9607704877853394,
59,3961,"[180, 647, 94, 66]",0.9007051587104797,0.9763033390045166,
60,8172,"[310, 255, 118, 131]",0.9004834890365601,0.966305673122406,
61,7607,"[182, 293, 116, 95]",0.9001011848449707,0.9736739993095398,
62,5983,"[1685, 0, 65, 115]",0.9803301692008972,0.9858985543251038,
63,9114,"[2257, 0, 142, 97]",0.9748960137367249,0.9816573262214661,
64,42623,"[1545, 1032, 331, 298]",0.9629898071289062,0.955881655216217,
65,8754,"[0, 1412, 111, 135]",0.9555662274360657,0.97316575050354,
66,18412,"[1044, 752, 151, 217]",0.9490553140640259,0.9705818891525269,
67,10116,"[1653, 670, 125, 126]",0.9489786624908447,0.9649888277053833,
68,18005,"[0, 1394, 133, 201]",0.9482482671737671,0.9559995532035828,
69,18000,"[828, 59, 134, 292]",0.9471423625946045,0.9576759934425354,
70,24261,"[2065, 567, 264, 211]",0.9403967261314392,0.9646203517913818,
71,13830,"[1216, 391, 105, 256]",0.9381755590438843,0.9585962295532227,
72,8173,"[1552, 1307, 122, 114]",0.9372586607933044,0.9700266122817993,
73,11651,"[563, 1154, 149, 181]",0.9369880557060242,0.9639162421226501,
74,11175,"[2294, 1078, 105, 188]",0.9321917295455933,0.9584271311759949,
75,9446,"[924, 765, 113, 135]",0.9309642314910889,0.9577639698982239,
76,14718,"[1386, 1060, 149, 226]",0.9298336505889893,0.9667675495147705,
77,6834,"[345, 679, 116, 91]",0.9268351793289185,0.9639873504638672,
78,1661,"[1696, 134, 57, 54]",0.9208562970161438,0.9625407457351685,
79,25589,"[2140, 1032, 215, 198]",0.9147690534591675,0.959973931312561,
80,7281,"[580, 594, 106, 135]",0.910053014755249,0.9591124653816223,
81,10721,"[1492, 659, 104, 144]",0.9091225862503052,0.9518281817436218,
82,44550,"[0, 0, 156, 438]",0.908652663230896,0.9710180163383484,
83,19179,"[0, 720, 204, 200]",0.9078062772750854,0.950837254524231,
84,17721,"[902, 1351, 156, 173]",0.9051764011383057,0.961800754070282,
