id,area_px,bbox,predicted_iou,stability_score,label
1,285464,"[0, 178, 699, 718]",1.0358771085739136,0.9915589690208435,
2,390145,"[0, 0, 1596, 302]",1.0160013437271118,0.988413393497467,
3,25146,"[499, 620, 201, 187]",0.9760359525680542,0.9742352962493896,
4,2492,"[786, 752, 83, 38]",0.9744755625724792,0.9801508784294128,
5,7583,"[900, 274, 104, 87]",0.9727658629417419,0.9831240177154541,
6,12593,"[1071, 777, 232, 97]",0.9711641669273376,0.9705399870872498,
7,11322,"[1284, 285, 88, 177]",0.9637370705604553,0.9737736582756042,
8,4074,"[829, 236, 76, 77]",0.9580508470535278,0.9810449481010437,
9,1308,"[1113, 754, 44, 35]",0.9566144347190857,0.9900990128517151,
10,2588,"[1439, 727, 90, 54]",0.9563832879066467,0.9695237874984741,
11,28024,"[202, 333, 384, 228]",0.9562244415283203,0.9600293636322021,
12,13511,"[239, 264, 251, 113]",0.9530010223388672,0.9719789624214172,
13,12442,"[652, 347, 177, 125]",0.9524942636489868,0.978606641292572,
14,1627,"[1326, 550, 32, 74]",0.9515641331672668,0.9823170900344849,
15,9535,"[1330, 727, 199, 106]",0.9494513273239136,0.9698689579963684,
16,4108,"[809, 674, 59, 80]",0.9487163424491882,0.9794884324073792,
17,28135,"[1269, 250, 104, 396]",0.9483964443206787,0.9715948700904846,
18,4087,"[571, 334, 171, 50]",0.9473094344139099,0.9736714959144592,
19,6276,"[500, 703, 127, 105]",0.9453080296516418,0.9712851047515869,
20,10160,"[1005, 282, 109, 168]",0.9451796412467957,0.9711510539054871,
21,1250,"[1004, 303, 56, 41]",0.9424968361854553,0.9677672982215881,
22,11621,"[674, 460, 145, 145]",0.9414586424827576,0.9516875743865967,
23,4027,"[399, 278, 191, 35]",0.9404853582382202,0.9627102017402649,
24,2945,"[135, 533, 57, 65]",0.9390056133270264,0.9649181365966797,
25,3421,"[1418, 767, 99, 61]",0.9368042349815369,0.9584765434265137,
26,3569,"[909, 659, 58, 79]",0.930774986743927,0.9747922420501709,
27,1454,"[897, 635, 58, 40]",0.9255402684211731,0.976222813129425,
28,3033,"[416, 299, 75, 66]",0.9149215817451477,0.9511253833770752,
29,1818,"[1477, 529, 98, 51]",0.9040584564208984,0.9658166170120239,
30,290943,"[296, 244, 1303, 654]",1.0132137537002563,0.9613555073738098,
31,132098,"[873, 117, 642, 586]",0.9979764819145203,0.9608607888221741,
32,24929,"[898, 275, 124, 243]",0.9520152807235718,0.9711894989013672,
33,10825,"[810, 330, 101, 196]",0.9506750702857971,0.9675553441047668,
34,14892,"[555, 282, 291, 78]",0.9497252702713013,0.967051088809967,
35,253,"[248, 363, 27, 11]",0.9290644526481628,0.9725490212440491,
36,82372,"[199, 264, 579, 298]",0.9280762672424316,0.9503827691078186,
37,6782,"[674, 390, 151, 84]",0.9197966456413269,0.9577566385269165,
