class,confidence,x1,y1,x2,y2,image_w,image_h,source_path,output_path
person,0.9614,1043,294,1599,892,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\festive-holiday-gathering-with-friends-340661.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_from_input_yolo.png
person,0.9343,0,261,329,888,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\festive-holiday-gathering-with-friends-340661.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_from_input_yolo.png
person,0.9233,142,264,482,681,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\festive-holiday-gathering-with-friends-340661.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_from_input_yolo.png
person,0.9203,1019,277,1271,637,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\festive-holiday-gathering-with-friends-340661.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_from_input_yolo.png
person,0.9174,698,289,984,629,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\festive-holiday-gathering-with-friends-340661.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_from_input_yolo.png
person,0.9147,414,291,756,651,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\festive-holiday-gathering-with-friends-340661.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_from_input_yolo.png
wine glass,0.8490,1042,521,1104,636,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\festive-holiday-gathering-with-friends-340661.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_from_input_yolo.png
wine glass,0.8107,966,509,1041,666,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\festive-holiday-gathering-with-friends-340661.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_from_input_yolo.png
wine glass,0.8012,743,503,793,640,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\festive-holiday-gathering-with-friends-340661.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_from_input_yolo.png
chair,0.7772,1259,521,1320,602,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\festive-holiday-gathering-with-friends-340661.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_from_input_yolo.png
cup,0.7748,916,593,961,643,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\festive-holiday-gathering-with-friends-340661.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_from_input_yolo.png
wine glass,0.7708,561,537,621,681,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\festive-holiday-gathering-with-friends-340661.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_from_input_yolo.png
cup,0.6296,805,660,874,782,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\festive-holiday-gathering-with-friends-340661.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_from_input_yolo.png
wine glass,0.6153,437,527,497,661,1600,900,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\festive-holiday-gathering-with-friends-340661.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_from_input_yolo.png
