class,confidence,x1,y1,x2,y2,image_w,image_h,source_path,output_path
person, 0.9494, 1046, 299, 1599, 895, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\festive-holiday-gathering-with-friends-340661_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_overlay_from_overlay_yolo.png
person, 0.9254, 698, 287, 984, 623, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\festive-holiday-gathering-with-friends-340661_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_overlay_from_overlay_yolo.png
person, 0.9249, 145, 264, 485, 678, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\festive-holiday-gathering-with-friends-340661_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_overlay_from_overlay_yolo.png
person, 0.8804, 1029, 277, 1270, 638, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\festive-holiday-gathering-with-friends-340661_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_overlay_from_overlay_yolo.png
wine glass, 0.8581, 437, 526, 500, 651, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\festive-holiday-gathering-with-friends-340661_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_overlay_from_overlay_yolo.png
wine glass, 0.8456, 966, 508, 1042, 662, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\festive-holiday-gathering-with-friends-340661_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_overlay_from_overlay_yolo.png
potted plant, 0.8231, 624, 293, 760, 510, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\festive-holiday-gathering-with-friends-340661_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_overlay_from_overlay_yolo.png
wine glass, 0.8091, 1042, 519, 1104, 638, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\festive-holiday-gathering-with-friends-340661_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_overlay_from_overlay_yolo.png
person, 0.8022, 0, 261, 334, 897, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\festive-holiday-gathering-with-friends-340661_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_overlay_from_overlay_yolo.png
cup, 0.7862, 915, 591, 961, 643, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\festive-holiday-gathering-with-friends-340661_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\festive-holiday-gathering-with-friends-340661_overlay_from_overlay_yolo.png
