class,confidence,x1,y1,x2,y2,image_w,image_h,source_path,output_path
car, 0.9693, 427, 319, 1351, 723, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\high-speed-racing-spectacle-6136403_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\high-speed-racing-spectacle-6136403_overlay_from_overlay_yolo.png
car, 0.9604, 156, 363, 496, 590, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\high-speed-racing-spectacle-6136403_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\high-speed-racing-spectacle-6136403_overlay_from_overlay_yolo.png
car, 0.9514, 952, 257, 1597, 479, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\high-speed-racing-spectacle-6136403_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\high-speed-racing-spectacle-6136403_overlay_from_overlay_yolo.png
person, 0.8032, 1528, 44, 1580, 107, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\high-speed-racing-spectacle-6136403_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\high-speed-racing-spectacle-6136403_overlay_from_overlay_yolo.png
chair, 0.5816, 803, 126, 863, 173, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\high-speed-racing-spectacle-6136403_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\high-speed-racing-spectacle-6136403_overlay_from_overlay_yolo.png
person, 0.5741, 1013, 65, 1057, 126, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\high-speed-racing-spectacle-6136403_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\high-speed-racing-spectacle-6136403_overlay_from_overlay_yolo.png
cup, 0.4076, 425, 185, 484, 260, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\high-speed-racing-spectacle-6136403_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\high-speed-racing-spectacle-6136403_overlay_from_overlay_yolo.png
person, 0.3763, 1358, 53, 1417, 194, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\high-speed-racing-spectacle-6136403_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\high-speed-racing-spectacle-6136403_overlay_from_overlay_yolo.png
orange, 0.3477, 525, 237, 559, 283, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\high-speed-racing-spectacle-6136403_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\high-speed-racing-spectacle-6136403_overlay_from_overlay_yolo.png
car, 0.3012, 67, 397, 215, 515, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\high-speed-racing-spectacle-6136403_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\high-speed-racing-spectacle-6136403_overlay_from_overlay_yolo.png
person, 0.3001, 1112, 139, 1171, 229, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\high-speed-racing-spectacle-6136403_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\high-speed-racing-spectacle-6136403_overlay_from_overlay_yolo.png
chair, 0.2931, 555, 0, 814, 216, 1600, 900, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\high-speed-racing-spectacle-6136403_overlay.png, D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\high-speed-racing-spectacle-6136403_overlay_from_overlay_yolo.png
