class,confidence,x1,y1,x2,y2,image_w,image_h,source_path,output_path
cell phone,0.8977,3848,2346,4045,2777,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
cell phone,0.8840,2569,1802,2750,2199,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
cell phone,0.8671,3078,2307,3283,2741,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
cell phone,0.8559,4370,2350,4602,2781,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
cell phone,0.8439,3070,1860,3247,2225,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
cell phone,0.8254,4816,1802,5053,2254,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
cell phone,0.8215,3081,787,3241,1124,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
cell phone,0.8176,4341,1833,4541,2241,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
cell phone,0.7618,2161,792,2319,1136,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
car,0.7235,710,813,928,1193,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
cell phone,0.6903,3331,810,3491,1124,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
cell phone,0.6389,1756,2388,1944,2841,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
cell phone,0.6077,3783,749,4024,1185,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
cell phone,0.5865,4281,822,4477,1190,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
cell phone,0.5727,4738,812,4946,1181,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\input\john-matychuk-yvfp5YHWGsc-unsplash.jpg,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_from_input_yolo.png
