class,confidence,x1,y1,x2,y2,image_w,image_h,source_path,output_path
cell phone,0.9011,2569,1798,2753,2201,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
cell phone,0.8979,3075,2307,3273,2738,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
cell phone,0.8933,3077,789,3245,1126,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
cell phone,0.8880,3845,2338,4045,2818,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
cell phone,0.8791,4340,1842,4544,2243,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
cell phone,0.8172,1680,773,1856,1114,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
cell phone,0.7982,1923,724,2088,1120,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
cell phone,0.7933,2161,792,2328,1145,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
cell phone,0.7838,4360,2345,4611,2798,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
cell phone,0.7632,4819,1807,5058,2255,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
cell phone,0.7527,3073,1829,3257,2232,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
cell phone,0.6795,4278,816,4481,1202,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
cell phone,0.6782,3331,808,3493,1123,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
suitcase,0.5922,1517,402,1940,585,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
car,0.5693,980,2292,1183,2712,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
car,0.5233,1240,2297,1442,2744,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
cell phone,0.4900,3782,748,4030,1192,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
cell phone,0.3810,4730,811,4944,1189,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
handbag,0.3230,1580,404,1823,667,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
bench,0.3222,402,222,648,238,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
person,0.2737,252,1963,329,2073,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
cell phone,0.2722,1750,2385,1944,2849,5184,3456,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\john-matychuk-yvfp5YHWGsc-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\john-matychuk-yvfp5YHWGsc-unsplash_overlay_from_overlay_yolo.png
