class,confidence,x1,y1,x2,y2,image_w,image_h,source_path,output_path
person,0.9006,2133,1394,2331,1659,5040,2963,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay_from_overlay_yolo.png
person,0.8832,951,1762,1290,2002,5040,2963,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay_from_overlay_yolo.png
person,0.8574,1666,103,1961,451,5040,2963,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay_from_overlay_yolo.png
person,0.8336,2100,131,2322,518,5040,2963,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay_from_overlay_yolo.png
person,0.8286,994,2047,1361,2284,5040,2963,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay_from_overlay_yolo.png
person,0.7767,1692,1466,1951,1675,5040,2963,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay_from_overlay_yolo.png
person,0.7293,2265,0,2442,302,5040,2963,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay_from_overlay_yolo.png
person,0.7238,2434,156,2596,515,5040,2963,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay_from_overlay_yolo.png
person,0.7236,1464,136,1656,415,5040,2963,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay_from_overlay_yolo.png
person,0.7232,2613,1413,2781,1652,5040,2963,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay_from_overlay_yolo.png
surfboard,0.7142,3534,1812,5037,2673,5040,2963,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay_from_overlay_yolo.png
person,0.6419,2399,1383,2575,1643,5040,2963,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay_from_overlay_yolo.png
person,0.6232,1896,2014,2096,2191,5040,2963,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay_from_overlay_yolo.png
person,0.6202,2668,1900,2836,2094,5040,2963,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay_from_overlay_yolo.png
person,0.5629,2588,1637,2809,1938,5040,2963,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay_from_overlay_yolo.png
person,0.5215,2572,546,2752,892,5040,2963,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay_from_overlay_yolo.png
person,0.4961,2636,2290,2847,2451,5040,2963,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay_from_overlay_yolo.png
person,0.4879,2481,2334,2647,2536,5040,2963,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay_from_overlay_yolo.png
person,0.4687,2668,642,2818,847,5040,2963,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay_from_overlay_yolo.png
person,0.4671,2432,0,2604,262,5040,2963,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay_from_overlay_yolo.png
person,0.4208,2330,1248,2472,1480,5040,2963,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\segmented\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay.png,D:\back\projects_and_portfolio\Deep Learning\04_pc_vision\multi_methode\images\yolo\rafael-de-nadai-CelTm7ss3Ho-unsplash_overlay_from_overlay_yolo.png
